address,databaseID,price,bedrooms,bathroom,sqft,zip,lat,lng,ancherRating,jamesRating
305-Memorial-Ave-Bluefield-WV-24701,5e76997adaf2db53c44d821c,249780,4,3.5,2980,24701,37.2579467,-81.210214,rich,useless
121-E-Sterling-Way-Leesburg-FL-34788,5e7c7610ccaa4a3ba0beb57c,19200,2,2,880,34788,28.8680367,-81.7703085,poor,poor
2429-Mountain-Avenue-Vw-Bluefield-WV-24701,5e76924f8767fc5cb8849bb7,235000,3,3,2900,24701,37.2363338,-81.2693556,rich,rich
164-Highland-Dr-0956-Leesburg-FL-34788,5e7c6da7ccaa4a3ba0beb54b,15800,2,2,864,34788,28.8729045,-81.7695107,poor,poor
104-Crossways-Dr-Leesburg-FL-34788,5e7c6f57ccaa4a3ba0beb555,15200,2,2,1152,34788,28.8716225,-81.7673884,poor,poor
35994-S-Walnut-Rdg-Afton-OK-74331,5e7cd01fccaa4a3ba0beb77e,1199000,5,5,3059,74331,36.6908392,-94.9624931,rich,rich
452077-Point-O-Woods-Afton-OK-74331,5e9ea5856958536158e47d96,999999,3,4,4150,74331,36.543557,-94.9540825,rich,rich
35437-Lindberg-Afton-OK-74331,5e7ccf97ccaa4a3ba0beb77c,925000,4,3,3429,74331,36.502363,-94.990517,rich,rich
9705-Hickory-Hollow-Rd-LOT-56-Leesburg-FL-34788,5e7c7aaeccaa4a3ba0beb598,27900,2,2,864,34788,28.871905,-81.796135,poor,poor
141-Highland-Dr-0933-Leesburg-FL-34788,5e9ea07c6958536158e47d84,25900,2,2,864,34788,28.8723834,-81.7709924,poor,poor
182-Camellia-Dr-0197-Leesburg-FL-34788,5e7c7567ccaa4a3ba0beb578,24900,2,2,1152,34788,28.8700606,-81.7765858,poor,poor
LK3317-207-Millwood-Rd-LOT-296-Leesburg-FL-34788,5e7c7a20ccaa4a3ba0beb594,22000,2,2,816,34788,28.8723197,-81.774222,poor,poor
469-Vista-Rd-Bluefield-WV-24701,5e768d2f8767fc5cb8849ba1,175000,3,2,2004,24701,37.315848,-81.218054,rich,rich
54501-E-301-Rd-Afton-OK-74331,5e7ce605ccaa4a3ba0beb7f5,925000,3,2,2280,74331,36.5798615,-94.8703051,rich,rich
1-Bahia-Way-229-Leesburg-FL-34788,5e7c7b58ccaa4a3ba0beb59c,29859,2,2,768,34788,28.8246706,-81.7796216,poor,poor
2610-Center-Dr-Bluefield-WV-24701,5e7687d4b569530e2c77cd16,149900,3,4,2120,24701,37.2585129,-81.205646,rich,rich
178-S-Lake-Dr-Leesburg-FL-34788,5e7c6d0cccaa4a3ba0beb547,29500,2,1,672,34788,28.8680427,-81.7722251,poor,poor
4208-Beacon-St-Bluefield-WV-24701,5e7691a78767fc5cb8849bb3,69900,3,2,--,24701,37.2660745,-81.1866016,poor,poor
56501-S-285-Rd-Afton-OK-74331,5e7cd4c3ccaa4a3ba0beb798,920000,4,4,4038,74331,36.6086725,-94.8656664,rich,rich
LK3324-108-W-Sterling-Way-Leesburg-FL-34788,5e7c7adbccaa4a3ba0beb599,34000,2,2,864,34788,28.8676492,-81.7709608,poor,poor
177-Crossways-Dr-Leesburg-FL-34788,5e7c7a50ccaa4a3ba0beb595,32900,2,2,960,34788,28.8700416,-81.7678988,poor,poor
56501-E-285-Rd-Monkey-Island-OK-74331,5e7cdbdfccaa4a3ba0beb7c0,920000,4,4,4038,74331,36.6086725,-94.8656664,rich,rich
702-College-Ave-Bluefield-WV-24701,5e768cb38767fc5cb8849b9f,119900,5,2,2992,24701,37.253435,-81.2249254,rich,rich
1032-James-St-Bluefield-WV-24701,5e768e398767fc5cb8849ba6,119900,5,2,2321,24701,37.2478948,-81.2263026,unsure,rich
1924-Cherrywood-Ln-Bluefield-WV-24701,5e768662b569530e2c77cd12,119000,3,2,1794,24701,37.248806,-81.242471,rich,rich
57171-E-Highway-125-UNIT-8-Monkey-Island-OK-74331,5e7cd5f1ccaa4a3ba0beb79e,875000,5,6,4084,74331,36.5613321,-94.8446226,rich,rich
111-Crossways-Dr-Leesburg-FL-34788,5e7c7a73ccaa4a3ba0beb596,36900,2,2,960,34788,28.8683433,-81.7679005,medium,poor
452127-Point-O-Woods-Afton-OK-74331,5e7cd9b5ccaa4a3ba0beb7b3,825000,3,4,3100,74331,36.5438114,-94.9537858,rich,rich
31501-S-Highway-125-57-Monkey-Island-OK-74331,5e7ce2caccaa4a3ba0beb7e5,799500,4,6,4803,74331,36.6222606,-94.8671147,rich,rich
31501-S-125th-Hwy-57-Afton-OK-74331,5e7ce47accaa4a3ba0beb7ec,799500,4,6,4803,74331,36.6222606,-94.8671147,rich,rich
152-Woodland-Dr-Leesburg-FL-34788,5e7c713dccaa4a3ba0beb560,39900,2,2,1144,34788,28.8701156,-81.7662728,poor,poor
1423-Whitethorn-St-Bluefield-WV-24701,5e7696518767fc5cb8849bc5,156625,4,5,4400,24701,37.2484897,-81.2335752,useless,useless
759-Camellia-Dr-Bluefield-WV-24701,5e768721b569530e2c77cd15,69000,2,1,1008,24701,37.3082282,-81.2648567,poor,unsure
34417-S-Coves-Dr-Afton-OK-74331,5e7ceb17ccaa4a3ba0beb813,798500,3,4,4190,74331,36.5186937,-94.9642431,rich,rich
